date,title, body, key insights, type, canvas tag, hypotheses feedback
2015-01-23,"In Person Meeting with Heather Payne, CFO, Dixon Midland Company","Our assumption was that most high end fashion consumers shop well known European brands. Heather shops mostly small boutique high end fashion designers whom she has developed trust in over the years. She shops mostly online, and one of the main reason for shopping online is the easy return policy most of these stores offer. She feels that most men's purchases are done by women, so any product offered specifically for men should be design to be attractive to women, sort of like ToysRUs or BabysRUs are doing business. She provided a number of resources, mainly ladies fashion websites which should be researched while evaluating the ecosystem. Her main concern in a platform based on sales and delivery is the operational complexities involved, like shipping time, customer service, ensuring quality of products etc","Providing the full ecosystem(merchandising, production, logistics support) to an aspiring fashion designer as a service will be the most important differentiation. Fashion designer should only have to bring the creative aspect to the platform and everything else should be taken care of by Thimble or other components put together by Thimble",Customer Interview,Value Propositions,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-01-23,"In Person Meeting with Primus D'Mello, Consulting Manager, PwC","Our assumption was that men didnt care too much about fit. It was more of buy everything in bulk or use his spouse's or girl friends help in getting new clothes. Primus said he does most of his purchases online and returns clothes if it doesnt fit him well. He buys average brands like Levi's, Wrangler etc, but that's because he loves the fit. He feels more well known brands are just marking up the price and doesnt give him additional value. He said he would definitely try out a new designer, if he gets a recommendation from a friend, as that's how most of the change in behaviour happens.",Fit is more important than brand. Trust in a brand in regards to its fit keeps people hooked to the same brand for years.,Customer Interview,Value Propositions,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-01-23,"In Person Meeting with Kabid Choudhury, Senior Manager, PwC","Our hypothesis was that most men are not interested in shopping stuff and most of the time women in their life buys clothes for them. Kabid is very specific in the clothes he gets and wears and he doesnt take any help from his wife to make his choices. He is still not comfortable shopping online, as he mentioned that he needs to feel the clothes before he buys them. He said he is very brand conscious and he has some brands which are his default choice for specific clothes(like pants, shirts etc). He has a very customer facing role, so he always need to make sure he is impeccably dressed. In the near future, he is considering going to a store like Lord and Taylor and start having a personal stylist who will curate and sell high quality stuff just for him. He said he is not concerned about the premium he will have to pay for that. He felt that he is okay with wearing a new designer line which is not famous, as long as it looks good and the price is not astronomically high. This will have to be validated later, as I think this is risky statement which might change once he has to pay money for it.&nbsp;","More young(Age 30-40) professional men are seeking assistance from stylists due to time constraints, disinterest in shopping and also because of more dispensable income.",Customer Interview,Value Propositions,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-01-22,"Phone Call with Amy Vesperman, Buyer, Burlington Coat Factory","We thought focusing on Men's fashion might be a good way to differentiate our self. But this might be a difficult area to gain large user acceptance. Large companies like Target, Nordstrom, etc. have specific established designers and they directly work with them. There are some outliers like Barney's New York who looks out for new trends and designers. &nbsp;Trunk Club style, Everything-in-a-box concept might still have some business opportunity","Fashion Bloggers are the key to create a following in the industry for designers. 
Social media is playing a huge role in changing the way fashion industry functions.
Men's fashion is a very small niche right now and might be attractive only to a small group of people.
Creating partnerships will be key in succeeding in fashion business",Customer Interview,Value Propositions,Users want a way to see items coming from independent fashion designers without the hassle of having to search for these designers.
2015-01-22,"Phone Call with Abigail Lipp, Personal Stylist, Independent","It's hard to find independent designers in your area if you don't already know their website or their name. Also a big problem of stock among independent designers. Designers will be willing to collaborate or at least network. On the consumer end, consumers often don't know how to change up their look. Providing some guidance for individual consumers could be innovative.","Important to get consumers to realize that you're investing in something that'll last and have a point of view, rather than just something cheap. Also reiterating the idea that independent designers need to become more accessible. They aren't sufficiently visible in spheres like Etsy or Instagram.",Customer Interview,Customer Relationships,
2015-01-22,"Phone Call with Inés Suarez, Independent Jewelry Designer, (Independent)",We hadn't realized jewelers might also be a big part of our market – this interview opened us up to that perspective (see above insights). We also realized we should probably allow consumers the power to create their own outfits by picking and choosing components from a library of designers' collections.,"Jewelry designers operate differently from clothes designers – whereas clothes shoppers may be inclined to buy whole outfits from one designer, they'll tend to pick and choose their jewelry. It might make more sense to create a platform that allows consumers to pick clothes from different designers and blend them in their own digital canvas.",Customer Interview,Customer Relationships,
2015-01-22,"Phone Call with Sarah Kauffman, Fashion Design Student, Kent State University","Sarah also mentioned the possibility of pitching our product to students at her school. Test-driving at the university level has proven successful in the past, and it may be something to think about moving forward.",Paper portfolios are outdated. We need to build a system that creates a portfolio and resume for designers that they could give to potential employers or otherwise use to market their work.,Customer Interview,Customer Relationships,
2015-01-23,"Phone Call with Erin Lorenzen, Independent Fashion Designer, (Independent)","Erin said she'd like to be more connected, so our networking concept has potential. The central challenge she pointed us to is that of making independent designers ""bigger."" Independent designers are hard to access, and if we can make them more visible, there's power in that.","Some kind of defense mechanism against fast-fashion would be powerful, but there's a huge gap between big brands and small brands. A way of bridging that gap would represent great innovation. Brand names are very accessible - ""big stores, big websites."" If independent stores could be bigger, people would be all over it.",Customer Interview,Customer Relationships,
2015-01-22,"Phone Call with Nikhil and Veronica, Friends, Bloomreach","Men want a hassle free, quick and easy experienceWomen willing to try out more clothesQuality is very very important. If the quality sucks now one will come to the siteMake sure we can maintain quality. Need a way to vet designers and make sure that they can meet order requestsLOGISTICS of running a marketplace are going to be tough.&nbsp;","Credibility! Users want quality goods and you have to make sure that designers can fulfill orders. 
Also men and women shop very differently. Men want a hassle free experience that is quick and easy. Women willing to try different clothes out. 
Brand doesn't matter; it is about whether it fits well (both physically and aesthetically with rest of outfit)",Customer Interview,,
2015-01-21,"Phone Call with Luke Zhang, Managing Editor, Stitch Magazine","Before the meeting, we had no idea how to go about fighting fast-fashion, but Luke brought up streamlining the patent process as one small step toward helping indie designers defend themselves against brand-name predation.&nbsp;Luke also emphasized the importance of creating an experience for consumers. Designers have to be able to create a potent brand strategy for themselves to break into the market. With these insights, we're going to think more about how we help designers create that experience for their customers,","People go back to brands for the experience. If you're going to pull them into the independent market, you have to create an experience for them. Don't just focus on the price or the materials – focus on WHO the designer is. Fast-fashion is a big problem – potential solution in streamlining the patenting process.",Customer Interview,Customer Relationships,
2015-01-19,"In Person Meeting with Beatrice Hagney, Fashion magazine editor, Stitch Magazine","Before the interview, we'd heard of fast-fashion, but didn't recognize the vastness of the problem. Bea told us that, in fact, many fashion-savvy shoppers are guilty of buying mass-produced knock-offs of independently designed pieces. Given this knowledge, we realized we need to provide indie designers a platform for more efficiently conducting transactions of their outfits' components.","Indie designers are currently using storefront sites like Etsy and social media sites like Instagram to market themselves.
Many consumers are guilty of ""fast-fashion"" shopping, wherein they'll buy massed-produced knock-off versions of independently designed, handmade runway pieces – often leaves indie designers feeling ripped off, taken advantage of.",Customer Interview,Value Propositions,
2015-01-19,"In Person Meeting with Sarah Spellings, Fashion business consultant, Stitch Magazine","Before this meeting, we thought fashion consumers might be more inclined to buy whole outfits rather than in pieces. The interview actually revealed the opposite to be true, that people who know what they're doing tend to buy component parts, as buying whole outfits is frowned upon for a lack of fashion creativity. That insight has fueled our Houzz-inspired idea, whereby we create a flag system allowing users to order individual parts of an outfit.","Fashion-savvy shoppers tend to purchase component parts of outfits, rather than whole outfits all at once.",Customer Interview,Value Propositions,
